provider,cidr,region
akamai,2.16.0.0/13,
akamai,23.0.0.0/12,
akamai,23.32.0.0/11,
akamai,23.64.0.0/14,
akamai,23.72.0.0/13,
akamai,23.92.16.0/20,
akamai,23.192.0.0/11,
akamai,23.239.0.0/19,
akamai,43.254.120.0/22,
akamai,45.33.0.0/17,
akamai,45.56.64.0/18,
akamai,45.79.0.0/18,
akamai,45.79.64.0/19,
akamai,45.79.96.0/20,
akamai,45.79.112.0/22,
akamai,45.79.116.0/23,
akamai,45.79.118.0/24,
akamai,45.79.120.0/21,
akamai,45.79.128.0/18,
akamai,45.79.192.0/19,
akamai,45.79.224.0/21,
akamai,45.79.236.0/22,
akamai,45.79.240.0/20,
akamai,45.118.132.0/22,
akamai,49.231.112.0/24,
akamai,49.231.116.0/23,
akamai,50.116.0.0/18,
akamai,59.151.128.0/18,
akamai,60.254.128.0/18,
akamai,61.19.12.0/24,
akamai,63.233.112.0/24,
akamai,63.233.126.0/24,
akamai,63.235.20.0/23,
akamai,64.124.167.0/24,
akamai,65.158.184.0/24,
akamai,66.175.208.0/20,
akamai,66.198.8.0/24,
akamai,66.228.32.0/19,
akamai,66.246.75.0/24,
akamai,69.22.150.0/23,
akamai,69.31.112.0/23,
akamai,69.31.118.0/24,
akamai,69.31.122.0/24,
akamai,69.164.192.0/19,
akamai,69.192.0.0/16,
akamai,72.14.176.0/20,
akamai,72.246.0.0/15,
akamai,74.207.224.0/19,
akamai,80.67.64.0/19,
akamai,80.85.84.0/22,
akamai,84.53.128.0/18,
akamai,85.90.244.0/22,
akamai,85.159.208.0/21,
akamai,88.80.184.0/21,
akamai,88.221.0.0/16,
akamai,92.122.0.0/15,
akamai,93.191.168.0/24,
akamai,95.100.0.0/15,
akamai,96.6.0.0/15,
akamai,96.16.0.0/15,
akamai,96.126.96.0/19,
akamai,97.107.128.0/20,
akamai,103.3.60.0/22,
akamai,103.29.68.0/22,
akamai,103.238.148.0/22,
akamai,104.64.0.0/10,
akamai,104.200.16.0/20,
akamai,104.237.128.0/19,
akamai,109.74.192.0/20,
akamai,109.207.109.0/24,
akamai,109.230.127.0/24,
akamai,109.237.24.0/22,
akamai,118.214.0.0/16,
akamai,118.215.0.0/17,
akamai,118.215.128.0/18,
akamai,121.78.46.0/24,
akamai,122.2.208.0/24,
akamai,122.252.32.0/19,
akamai,122.252.128.0/20,
akamai,124.106.8.0/24,
akamai,124.106.175.0/24,
akamai,125.56.128.0/17,
akamai,125.252.192.0/18,
akamai,139.144.0.0/18,
akamai,139.144.64.0/20,
akamai,139.144.96.0/19,
akamai,139.144.128.0/21,
akamai,139.144.144.0/20,
akamai,139.144.160.0/19,
akamai,139.144.192.0/18,
akamai,139.162.0.0/16,
akamai,139.177.176.0/20,
akamai,139.177.192.0/20,
akamai,143.42.0.0/18,
akamai,143.42.64.0/20,
akamai,143.42.96.0/19,
akamai,143.42.128.0/17,
akamai,151.236.216.0/21,
akamai,162.216.16.0/22,
akamai,165.254.0.0/24,
akamai,165.254.2.0/24,
akamai,165.254.26.128/26,
akamai,165.254.40.0/23,
akamai,165.254.44.0/23,
akamai,165.254.52.0/24,
akamai,165.254.58.0/25,
akamai,165.254.81.0/24,
akamai,165.254.110.0/23,
akamai,165.254.119.128/25,
akamai,165.254.123.0/24,
akamai,165.254.136.0/24,
akamai,165.254.142.0/24,
akamai,165.254.145.64/26,
akamai,165.254.156.0/23,
akamai,165.254.203.192/26,
akamai,165.254.237.128/25,
akamai,165.254.238.128/25,
akamai,165.254.247.128/25,
akamai,168.143.242.0/23,
akamai,170.187.128.0/23,
akamai,170.187.131.0/24,
akamai,170.187.132.0/24,
akamai,170.187.134.0/23,
akamai,170.187.136.0/21,
akamai,170.187.144.0/20,
akamai,170.187.160.0/19,
akamai,170.187.192.0/18,
akamai,172.104.4.0/22,
akamai,172.104.8.0/21,
akamai,172.104.16.0/20,
akamai,172.104.32.0/19,
akamai,172.104.64.0/18,
akamai,172.104.128.0/18,
akamai,172.104.192.0/21,
akamai,172.104.202.0/23,
akamai,172.104.205.0/24,
akamai,172.104.206.0/23,
akamai,172.104.208.0/20,
akamai,172.104.224.0/19,
akamai,172.105.0.0/17,
akamai,172.105.128.0/21,
akamai,172.105.136.0/22,
akamai,172.105.140.0/23,
akamai,172.105.146.0/23,
akamai,172.105.148.0/22,
akamai,172.105.152.0/21,
akamai,172.105.160.0/19,
akamai,172.105.192.0/18,
akamai,172.224.0.0/12,
akamai,173.205.69.0/24,
akamai,173.205.76.0/23,
akamai,173.222.0.0/15,
akamai,173.230.128.0/19,
akamai,173.255.192.0/18,
akamai,176.58.96.0/19,
akamai,178.79.128.0/18,
akamai,184.24.0.0/13,
akamai,184.50.0.0/15,
akamai,184.84.0.0/14,
akamai,185.3.92.0/22,
akamai,185.225.250.0/23,
akamai,187.210.208.0/22,
akamai,189.247.167.0/24,
akamai,189.247.204.0/22,
akamai,189.247.209.0/24,
akamai,189.247.210.0/23,
akamai,189.247.212.0/23,
akamai,189.247.214.0/24,
akamai,189.247.216.0/24,
akamai,189.247.220.0/24,
akamai,189.254.81.0/24,
akamai,190.94.188.0/24,
akamai,190.98.153.0/24,
akamai,190.98.160.0/24,
akamai,192.46.208.0/20,
akamai,192.46.224.0/20,
akamai,192.53.112.0/20,
akamai,192.53.160.0/20,
akamai,192.80.13.0/24,
akamai,192.81.128.0/21,
akamai,192.155.80.0/20,
akamai,192.204.5.0/24,
akamai,193.108.88.0/21,
akamai,193.108.152.0/22,
akamai,194.195.112.0/20,
akamai,194.195.208.0/20,
akamai,194.195.240.0/20,
akamai,194.233.160.0/20,
akamai,195.245.124.0/22,
akamai,198.47.116.0/24,
akamai,198.58.96.0/19,
akamai,198.74.48.0/20,
akamai,198.87.182.0/25,
akamai,198.173.160.0/23,
akamai,200.60.136.0/24,
akamai,200.60.190.0/24,
akamai,201.220.10.0/24,
akamai,202.138.183.0/24,
akamai,203.69.138.0/24,
akamai,203.69.141.0/24,
akamai,203.198.20.0/24,
akamai,203.251.233.0/24,
akamai,203.251.234.0/24,
akamai,204.1.141.0/24,
akamai,204.2.139.0/24,
akamai,204.2.145.0/24,
akamai,204.2.158.0/23,
akamai,204.2.162.0/24,
akamai,204.2.164.0/23,
akamai,204.2.196.0/24,
akamai,204.8.48.0/22,
akamai,204.10.28.0/22,
akamai,204.93.48.0/24,
akamai,204.201.160.0/24,
akamai,204.237.142.0/23,
akamai,204.237.186.0/23,
akamai,204.237.188.0/24,
akamai,207.192.68.0/22,
akamai,208.185.115.0/24,
akamai,210.61.248.0/23,
akamai,212.71.232.0/21,
akamai,212.71.244.0/22,
akamai,212.71.248.0/21,
akamai,212.111.40.0/22,
akamai,213.52.128.0/23,
akamai,213.52.130.0/24,
akamai,213.168.248.0/22,
akamai,213.219.36.0/22,
akamai,216.238.147.0/24,
akamai,218.231.251.0/24,
akamai,219.76.11.0/24,
akamai,2001:418:1401:4::/64,
akamai,2001:418:1401:7::/64,
akamai,2001:418:1401:18::/64,
akamai,2001:418:1401:21::/64,
akamai,2001:418:1401:25::/64,
akamai,2001:418:1401:6a::/64,
akamai,2001:418:1401:71::/64,
akamai,2001:418:1401:7d::/64,
akamai,2001:418:4001:2::/64,
akamai,2001:418:4001:4::/64,
akamai,2001:428:2001:205::/64,
akamai,2001:428:2001:302::/64,
akamai,2001:438:fffd:13::/64,
akamai,2001:590:1:601::/64,
akamai,2001:590:1:607::/64,
akamai,2001:590:1:609::/64,
akamai,2001:590:2005:200::/56,
akamai,2001:668:108:400::/56,
akamai,2001:668:108:6000::/64,
akamai,2001:c38:500a::/48,
akamai,2001:4450:40::/48,
akamai,2001:4457:ff0::/48,
akamai,2001:4546:1003::/48,
akamai,2400:8901::/32,
akamai,2400:8902::/32,
akamai,2400:8904::/31,
akamai,2400:8907::/32,
akamai,2403:c780:7203::/48,
akamai,2404:c800:8203::/48,
akamai,2405:9600::/32,
akamai,2600:1400::/24,
akamai,2600:3c00::/29,
akamai,2600:3c08::/30,
akamai,2600:3c0c::/31,
akamai,2600:3c0e::/32,
akamai,2600:3c0f:2::/47,
akamai,2600:3c0f:4::/48,
akamai,2600:3c0f:6::/47,
akamai,2600:3c0f:9::/48,
akamai,2600:3c0f:10::/47,
akamai,2600:3c0f:14::/46,
akamai,2600:3c0f:18::/47,
akamai,2600:3c0f:20::/45,
akamai,2600:3c0f:28::/47,
akamai,2600:3c0f:30::/48,
akamai,2600:3c0f:32::/48,
akamai,2600:3c0f:34::/47,
akamai,2600:3c0f:37::/48,
akamai,2600:3c0f:38::/48,
akamai,2600:3c0f:40::/45,
akamai,2600:3c0f:48::/47,
akamai,2600:3c0f:50::/46,
akamai,2600:3c0f:56::/47,
akamai,2600:3c12:100::/40,
akamai,2600:3c12:300::/40,
akamai,2600:3c12:400::/38,
akamai,2600:3c12:800::/38,
akamai,2600:3c12:c00::/39,
akamai,2600:3c12:e00::/40,
akamai,2600:3c13::/32,
akamai,2600:3c14::/30,
akamai,2600:3c18::/30,
akamai,2620:11b:d021::/48,
akamai,2800:280:4001::/48,
akamai,2806:1030:cefe::/48,
akamai,2806:1070:cefe::/48,
akamai,2806:1080:cefe::/48,
akamai,2806:10b0:cefe::/48,
akamai,2a01:7e00::/30,
akamai,2a01:7e04::/32,
akamai,2a02:26f0::/32,
akamai,2a02:26f6::/48,
akamai,2a02:26f7::/32,
akamai,2a10:f783:23::/48,
akamai,2a10:fa44::/48,
akamai,2a10:fa44:100::/64,
aws,1.178.72.0/21,GLOBAL
aws,3.2.1.0/24,GLOBAL
aws,3.2.4.0/23,GLOBAL
aws,3.2.8.0/21,GLOBAL
aws,3.3.0.0/23,GLOBAL
aws,3.3.6.0/23,GLOBAL
aws,3.3.8.0/21,GLOBAL
aws,3.4.8.0/24,GLOBAL
aws,3.4.32.0/20,GLOBAL
aws,3.33.128.0/17,GLOBAL
aws,3.160.0.0/13,GLOBAL
aws,3.168.0.0/14,GLOBAL
aws,3.172.0.0/17,GLOBAL
aws,3.173.0.0/16,GLOBAL
aws,3.174.0.0/15,GLOBAL
aws,13.32.0.0/15,GLOBAL
aws,13.35.0.0/16,GLOBAL
aws,13.224.0.0/14,GLOBAL
aws,13.248.128.0/17,GLOBAL
aws,13.249.0.0/16,GLOBAL
aws,15.158.0.0/16,GLOBAL
aws,15.177.0.0/18,GLOBAL
aws,15.193.0.0/18,GLOBAL
aws,15.197.0.0/19,GLOBAL
aws,15.197.32.0/21,GLOBAL
aws,15.197.64.0/19,GLOBAL
aws,15.197.128.0/17,GLOBAL
